initial_guess,level,require_v_sum,optimiser,loss_type,constraint_strictness,loss,time
reg,single,FALSE,SLSQP,l2,0.05,8.470355973,0.006660461
equal,nested,TRUE,SLSQP,l2,0,7.553077746,4.751390219
equal,nested,TRUE,SLSQP,RSS,0,56.37742033,6.708130121
reg,nested,FALSE,Nelder-Mead,RSS,1.00E-08,57.36416481,2.851741552
reg,nested,FALSE,Nelder-Mead,l2,0,7.5740208,2.357017279
equal,nested,TRUE,SLSQP,l2,0.01,7.936583402,6.797477007
reg,nested,FALSE,Nelder-Mead,RSS,0.05,57.36416481,2.889400482
equal,nested,FALSE,SLSQP,l2,0,7.647617093,3.493108988
equal,single,FALSE,SLSQP,RSS,0.05,810.1063518,0.006866693
equal,nested,FALSE,SLSQP,RSS,0,58.53660259,4.349525452
equal,single,TRUE,SLSQP,RSS,0.01,810.1063518,0.007031918
equal,single,FALSE,SLSQP,l2,1.00E-08,28.46236729,0.006625175
equal,nested,FALSE,SLSQP,RSS,1.00E-08,57.8798894,3.441470861
reg,nested,TRUE,SLSQP,RSS,0.05,57.8675491,1.278166056
reg,nested,FALSE,L-BFGS-B,RSS,0,57.20240279,15.72944498
equal,single,FALSE,SLSQP,l2,0.01,28.46236729,0.007001162
equal,nested,FALSE,Nelder-Mead,RSS,1.00E-08,58.66785485,3.550697088
equal,nested,FALSE,L-BFGS-B,RSS,1.00E-08,77.87015293,6.14386034
equal,nested,TRUE,SLSQP,l2,0.05,8.645206725,6.666692495
equal,nested,FALSE,Nelder-Mead,RSS,0.01,58.66784891,3.642234564
equal,single,FALSE,SLSQP,RSS,0.01,810.1063518,0.006682158
equal,nested,FALSE,SLSQP,RSS,1.00E-08,57.8798894,3.42403841
reg,nested,FALSE,SLSQP,RSS,0.05,58.14911159,0.842648506
equal,single,FALSE,SLSQP,l2,1.00E-08,28.46236729,0.00672102
reg,nested,FALSE,Nelder-Mead,RSS,0,57.36416481,2.851734638
reg,nested,FALSE,L-BFGS-B,l2,0.05,7.66523558,4.337343454
equal,nested,FALSE,L-BFGS-B,l2,1.00E-08,21.46601745,4.384299517
reg,nested,FALSE,SLSQP,RSS,0.05,58.14911159,0.844429016
equal,nested,FALSE,Nelder-Mead,l2,0.05,7.659511007,3.381146908
equal,nested,FALSE,SLSQP,l2,0.01,7.66425865,4.237257242
equal,nested,TRUE,SLSQP,RSS,0.01,57.10698019,5.888148308
equal,single,FALSE,SLSQP,l2,0.01,28.46236729,0.006710291
equal,nested,FALSE,L-BFGS-B,l2,1.00E-08,21.46601745,4.376544237
equal,nested,FALSE,Nelder-Mead,RSS,0.01,58.66785485,3.558593988
equal,single,FALSE,SLSQP,RSS,0.01,810.1063518,0.006923199
equal,nested,FALSE,L-BFGS-B,l2,0.01,22.65148802,3.708770037
equal,nested,FALSE,Nelder-Mead,l2,0.01,7.659511007,3.597569466
reg,nested,FALSE,Nelder-Mead,RSS,0.05,57.36416481,2.838156939
equal,nested,TRUE,SLSQP,l2,0,7.553077746,4.747184753
reg,single,TRUE,SLSQP,l2,1.00E-08,8.470355973,0.007066727
equal,nested,TRUE,SLSQP,RSS,1.00E-08,670.8734763,0.330113411
reg,nested,FALSE,SLSQP,l2,1.00E-08,7.547317857,1.735255957
equal,nested,TRUE,SLSQP,l2,0.05,8.645206725,6.702085972
reg,nested,FALSE,L-BFGS-B,l2,0,7.652994965,5.128859282
reg,nested,FALSE,SLSQP,l2,1.00E-08,7.547317857,1.737116575
reg,nested,TRUE,SLSQP,RSS,0.05,57.8675491,1.297254086
reg,nested,FALSE,L-BFGS-B,RSS,0,57.20240279,15.61359429
reg,nested,FALSE,L-BFGS-B,RSS,1.00E-08,58.47858216,5.210964441
reg,nested,FALSE,Nelder-Mead,l2,0.05,7.5740208,2.41479826
reg,single,FALSE,SLSQP,RSS,1.00E-08,71.74693031,0.006963015
equal,nested,TRUE,SLSQP,RSS,0.01,57.10698019,5.85168767
equal,nested,TRUE,SLSQP,l2,0.01,7.936583402,6.786393166
equal,nested,FALSE,SLSQP,l2,0.01,7.66425865,4.168999672
reg,single,FALSE,SLSQP,l2,0.01,8.470355973,0.006768227
equal,nested,FALSE,L-BFGS-B,RSS,0,58.54751681,13.22441387
reg,single,TRUE,SLSQP,l2,0.05,8.470355973,0.006973743
reg,nested,TRUE,SLSQP,RSS,0.05,57.8675491,1.280373096
reg,single,TRUE,SLSQP,RSS,1.00E-08,71.74693031,0.006953955
equal,single,FALSE,SLSQP,l2,0.05,28.46236729,0.00672555
equal,single,TRUE,SLSQP,RSS,0,810.1063518,0.00690341
reg,nested,TRUE,SLSQP,l2,0,7.56918366,3.729602098
equal,single,FALSE,SLSQP,RSS,1.00E-08,810.1063518,0.006612062
reg,nested,FALSE,Nelder-Mead,RSS,0.05,57.36416481,2.840016127
equal,nested,TRUE,SLSQP,l2,0,7.553077746,4.761128664
equal,single,FALSE,SLSQP,RSS,0,810.1063518,0.006999969
reg,nested,FALSE,L-BFGS-B,l2,0,7.652994965,5.078201294
equal,nested,FALSE,Nelder-Mead,l2,1.00E-08,7.659511007,3.347658157
reg,nested,FALSE,L-BFGS-B,l2,1.00E-08,7.547643914,15.39172244
equal,single,TRUE,SLSQP,RSS,0.01,810.1063518,0.006831408
equal,nested,FALSE,L-BFGS-B,RSS,0.05,1000000,6.386988401
reg,nested,FALSE,Nelder-Mead,l2,0.05,7.5740208,2.348169088
equal,nested,FALSE,Nelder-Mead,RSS,0.05,58.66785485,3.54556942
equal,nested,FALSE,L-BFGS-B,l2,0.01,22.65148802,3.66387558
equal,nested,TRUE,SLSQP,RSS,0.01,57.10698019,5.86836791
reg,single,FALSE,SLSQP,l2,0.05,8.470355973,0.006841898
reg,single,FALSE,SLSQP,l2,0.01,8.470355973,0.006986618
equal,nested,FALSE,Nelder-Mead,l2,0,11.21861865,3.280205488
reg,single,FALSE,SLSQP,l2,0,8.470355973,0.006788254
equal,single,TRUE,SLSQP,l2,0.05,28.46236729,0.00697732
